Wall time,Step,Value
1780432182.9519718,1024,-119.60856628417969
1780432428.1117425,2048,-103.00175476074219
1780432681.627403,3072,-74.88782501220703
1780432929.4300594,4096,-64.3911361694336
1780433175.8055222,5120,-51.42815399169922
1780433429.6184525,6144,-64.65258026123047
1780433679.03933,7168,-59.42537307739258
1780433922.3560803,8192,-63.66267013549805
1780434165.1829815,9216,-63.275577545166016
1780434405.6628659,10240,-54.311851501464844
1780434653.5182402,11264,-55.022361755371094
1780434897.7026153,12288,-55.459651947021484
1780435141.424074,13312,-56.87185287475586
1780435384.306417,14336,-57.278411865234375
1780435627.7833917,15360,-56.413909912109375
1780435873.8349857,16384,-56.70851135253906
1780436116.552508,17408,-58.892887115478516
1780436360.8679886,18432,-51.54419708251953
1780436603.39246,19456,-51.17913818359375
1780436846.3168478,20480,-51.29402160644531
1780437088.4704828,21504,-51.7021369934082
1780437331.8776014,22528,-51.72127914428711
1780437574.9874907,23552,-51.76995086669922
1780437818.106987,24576,-51.26118469238281
1780438063.9015558,25600,-45.55523681640625
1780438307.525139,26624,-48.03003692626953
1780438553.9902637,27648,-47.5932502746582
1780438795.8595862,28672,-44.882347106933594
1780439047.2091548,29696,-40.18787384033203
1780439293.9159877,30720,-32.350643157958984
1780439583.6441395,31744,-32.38179016113281
1780439878.906669,32768,-29.875953674316406
1780440172.9213657,33792,-29.20090675354004
1780440467.0289075,34816,-28.608354568481445
1780440762.3121843,35840,-26.503887176513672
1780441055.4808202,36864,-26.801715850830078
1780441350.1483097,37888,-21.35152816772461
1780441648.326683,38912,-16.2602481842041
1780441948.343272,39936,-8.531974792480469
1780442242.998154,40960,-5.67864990234375
1780442541.2541752,41984,1.0992156267166138
1780442841.3134606,43008,14.242107391357422
1780443135.2114525,44032,28.26360511779785
1780443432.9373264,45056,44.4522819519043
1780443731.1385086,46080,63.8206901550293
1780444025.9783826,47104,82.08373260498047
1780444328.8225706,48128,102.39089965820312
1780444625.7738397,49152,122.73676300048828
1780444926.1440778,50176,146.9733428955078
1780445223.8228567,51200,162.14569091796875
1780445523.427905,52224,187.11517333984375
1780445827.2888265,53248,198.101318359375
1780446123.3407195,54272,212.85650634765625
1780446421.3034356,55296,223.71847534179688
1780446717.8187816,56320,235.07476806640625
1780447015.7990587,57344,235.72291564941406
1780447313.166983,58368,234.5776824951172
1780447609.738991,59392,229.4928436279297
1780447910.949374,60416,228.9156036376953
1780448210.4253097,61440,232.07728576660156
1780448511.7950933,62464,228.64109802246094
1780448806.281285,63488,229.021240234375
1780449106.745271,64512,226.05648803710938
1780449405.2111504,65536,221.7136688232422
1780449703.4261594,66560,223.88526916503906
1780450000.300798,67584,232.86322021484375
1780450300.5264826,68608,232.1280975341797
1780450606.8847783,69632,220.41741943359375
1780450903.4744318,70656,225.33108520507812
1780451212.9537728,71680,217.98782348632812
1780451517.62784,72704,212.69342041015625
1780451816.305901,73728,216.26541137695312
1780452111.1981385,74752,222.47439575195312
1780452409.9155343,75776,223.11289978027344
1780452717.8792815,76800,219.4540252685547
1780453014.8719845,77824,222.34329223632812
1780453311.7572424,78848,228.55026245117188
1780453611.1310492,79872,215.46458435058594
1780453913.1275303,80896,215.8545684814453
1780454210.6232228,81920,215.28546142578125
1780454507.371536,82944,215.91517639160156
1780454813.625487,83968,217.45193481445312
1780455113.3684433,84992,213.5199737548828
1780455411.8881273,86016,208.306396484375
1780455711.0655339,87040,215.90296936035156
1780456011.2207117,88064,220.0281524658203
1780456310.4034097,89088,216.8677978515625
1780456616.0122678,90112,211.51536560058594
1780456917.3560333,91136,211.8594512939453
1780457214.2522922,92160,215.04327392578125
1780457515.179002,93184,213.3535614013672
1780457814.9933517,94208,223.29983520507812
1780458115.1959033,95232,233.8749542236328
1780458420.9212525,96256,239.3495635986328
1780458721.371533,97280,231.17202758789062
1780459016.5246792,98304,234.46377563476562
1780459317.9440477,99328,234.80224609375
1780459615.9689817,100352,237.82310485839844
1780459917.3473032,101376,239.48062133789062
1780460214.4421198,102400,239.39044189453125
1780460516.2195182,103424,237.22393798828125
1780460814.7598858,104448,238.96795654296875
1780461111.2792335,105472,237.2279510498047
1780461419.234271,106496,232.1660919189453
1780461718.6695523,107520,235.6075439453125
1780462016.3047757,108544,237.24993896484375
1780462317.108187,109568,229.80149841308594
1780462622.9550676,110592,234.51531982421875
1780462921.8729515,111616,238.2151336669922
1780463219.7360785,112640,234.4434814453125
1780463516.5224547,113664,236.18356323242188
1780463818.6891856,114688,239.7983856201172
1780464114.2943037,115712,239.50677490234375
1780464416.0916111,116736,234.7919464111328
1780464718.3566303,117760,234.20460510253906
1780465018.4396863,118784,242.15533447265625
1780465314.4348238,119808,249.27102661132812
1780465614.7765687,120832,249.82765197753906
1780465914.1578178,121856,247.5293731689453
1780466214.1008222,122880,245.6477813720703
1780466509.2112377,123904,249.02337646484375
1780466810.984709,124928,251.6608123779297
1780467112.9687393,125952,258.84771728515625
1780467408.9211602,126976,261.7904052734375
1780467707.1378243,128000,262.8498229980469
1780468006.12605,129024,265.5042419433594
1780468305.4441288,130048,261.871826171875
1780468604.8178039,131072,258.8676452636719
1780468908.0278802,132096,265.5066833496094
1780469209.3691897,133120,262.03546142578125
1780469506.412571,134144,263.22821044921875
1780469807.2453237,135168,261.3070983886719
1780470104.4463806,136192,252.755126953125
1780470398.9072576,137216,255.599365234375
1780470694.0928288,138240,255.21041870117188
1780470990.6908767,139264,249.12896728515625
1780471293.6123457,140288,248.23004150390625
1780471592.770804,141312,251.06919860839844
1780471890.4193149,142336,250.29087829589844
1780472189.3600276,143360,255.60118103027344
1780472488.664246,144384,263.5816345214844
1780472786.26201,145408,267.6315612792969
1780473086.929865,146432,266.8472595214844
1780473383.8022325,147456,270.3864440917969
1780473685.3528368,148480,260.2250671386719
1780473984.4601312,149504,258.41204833984375
1780474282.4466927,150528,260.0934753417969
1780474580.3535137,151552,263.1769104003906
1780474881.5818982,152576,257.9452819824219
1780475180.7307642,153600,252.38453674316406
1780475481.2150776,154624,249.65406799316406
1780475781.355749,155648,242.49220275878906
1780476080.0711741,156672,239.2933807373047
1780476383.5889382,157696,233.8131561279297
1780476685.6823304,158720,230.34300231933594
1780476988.6619742,159744,229.26882934570312
1780477287.7897708,160768,230.30545043945312
1780477587.54074,161792,231.09671020507812
1780477886.3784676,162816,232.00836181640625
1780478190.3332307,163840,224.589599609375
1780478493.826609,164864,222.2176513671875
1780478790.2432249,165888,229.10105895996094
1780479088.803267,166912,234.64601135253906
1780479389.9154286,167936,229.73878479003906
1780479689.4167943,168960,231.09471130371094
1780479989.5342305,169984,234.3310546875
1780480294.0902054,171008,229.62088012695312
1780480596.6521404,172032,227.1317138671875
1780480900.4483294,173056,221.33189392089844
1780481198.9605865,174080,235.05833435058594
1780481509.3147044,175104,234.38880920410156
1780481820.0244231,176128,239.3599853515625
1780482155.1859229,177152,239.80819702148438
1780482485.4773786,178176,247.20045471191406
1780482790.1870694,179200,237.17564392089844
1780483086.988796,180224,244.18026733398438
1780483382.3640351,181248,241.70687866210938
1780483686.178427,182272,239.3127899169922
1780483985.6262236,183296,240.98214721679688
1780484288.1431873,184320,233.9193572998047
1780484587.660533,185344,236.12509155273438
1780484887.6175556,186368,237.59890747070312
1780485194.5856657,187392,229.23403930664062
1780485492.2022176,188416,231.3829803466797
1780485789.427024,189440,241.6844024658203
1780486088.994907,190464,241.62916564941406
1780486389.943869,191488,246.80308532714844
1780486691.417779,192512,250.77264404296875
1780486997.2826147,193536,255.6547393798828
1780487298.5915165,194560,258.8843994140625
1780487595.0569963,195584,260.0674133300781
1780487896.0735185,196608,265.7757873535156
1780488196.3444,197632,267.5283508300781
1780488505.4141443,198656,262.85369873046875
1780488808.1064718,199680,258.4151611328125
1780489108.922073,200704,265.02117919921875
1780489405.2025146,201728,262.3023986816406
1780489703.070757,202752,261.5422058105469
1780490001.9686384,203776,249.38067626953125
1780490304.5658727,204800,254.79376220703125
1780490614.122839,205824,251.45639038085938
1780490912.1874077,206848,247.7311553955078
1780491210.712077,207872,247.07310485839844
1780491507.7338395,208896,253.6763153076172
1780491804.144511,209920,256.8810729980469
1780492101.9896727,210944,243.3589630126953
1780492401.6768026,211968,240.11647033691406
1780492698.9011574,212992,239.37977600097656
1780492998.1063542,214016,244.51686096191406
1780493299.3869607,215040,244.8464813232422
1780493600.8608081,216064,257.7349853515625
1780493901.4144638,217088,251.3182373046875
1780494202.1813338,218112,250.7169189453125
1780494501.153365,219136,251.5279541015625
1780494800.380585,220160,252.60494995117188
1780495102.588386,221184,257.9072265625
1780495407.8967068,222208,260.93701171875
1780495711.7326279,223232,259.6185607910156
1780496011.6857665,224256,258.66510009765625
1780496313.759999,225280,250.3308563232422
1780496613.679216,226304,242.4592742919922
1780496919.5789125,227328,241.12591552734375
1780497222.5926652,228352,241.7379150390625
1780497520.5244849,229376,239.35052490234375
1780497822.1807048,230400,223.80992126464844
1780498125.159146,231424,230.24330139160156
1780498428.3598895,232448,229.61317443847656
1780498738.5205848,233472,235.67601013183594
1780499045.1475546,234496,235.7421112060547
1780499345.7447658,235520,232.96270751953125
1780499643.899256,236544,240.80247497558594
1780499943.906557,237568,238.71363830566406
1780500241.9488642,238592,244.4321746826172
1780500539.5693412,239616,256.1080627441406
1780500839.7514532,240640,266.5417785644531
1780501141.5593126,241664,255.46885681152344
1780501445.3610682,242688,250.4071502685547
1780501748.1523018,243712,244.49038696289062
1780502054.0399384,244736,246.30592346191406
1780502352.8720796,245760,245.87896728515625
1780502659.675952,246784,243.0338897705078
1780502961.9525068,247808,240.1055450439453
1780503265.7652493,248832,223.51260375976562
1780503569.5106173,249856,217.8701934814453
1780503873.4837422,250880,226.26878356933594
1780504175.3520658,251904,225.62472534179688
1780504478.8509445,252928,226.34886169433594
1780504792.030611,253952,228.9232940673828
1780505120.157564,254976,232.45742797851562
1780505443.2402487,256000,236.31411743164062
1780505748.701529,257024,234.63699340820312
1780506061.7395465,258048,232.63656616210938
1780506384.341615,259072,237.2490692138672
