Wall time,Step,Value
1783016107.2174904,1024,0.0
1783016373.616751,2048,0.0
1783016643.6880987,3072,0.0
1783016912.9141433,4096,0.0
1783017199.3442407,5120,0.0
1783017490.2273474,6144,0.0
1783017767.8692408,7168,0.0
1783018034.1036468,8192,0.0
1783018315.895196,9216,0.0
1783018589.998526,10240,0.0
1783018868.8561168,11264,0.0
1783019143.9707718,12288,0.0
1783019407.1645525,13312,0.0
1783019685.8089974,14336,0.0
1783019966.1096914,15360,0.0
1783020234.02543,16384,0.0
1783020488.4653594,17408,0.0
1783020752.4834368,18432,0.0
1783021005.8124812,19456,0.0
1783021264.302883,20480,0.0
1783021533.1703715,21504,0.0
1783021796.8748312,22528,0.0
1783022070.5818534,23552,0.0
1783022335.5876253,24576,0.0
1783022600.0366776,25600,0.0
1783022857.8796196,26624,0.0
1783023120.8066342,27648,0.0
1783023384.8946438,28672,0.0
1783023647.7766557,29696,0.0
1783023904.0058892,30720,0.0
1783024153.4514148,31744,0.0
1783024421.2985706,32768,0.0
1783024681.0926242,33792,0.0
1783024949.9900408,34816,0.0
1783025207.625466,35840,0.0
1783025467.1751497,36864,0.0
1783025721.1213267,37888,0.0
1783025977.1645713,38912,0.0
1783026243.907253,39936,0.0
1783026504.1257656,40960,0.0
1783026760.6455517,41984,0.0
1783027022.4391465,43008,0.0
1783027296.602041,44032,0.0
1783027552.7984169,45056,0.0
1783027807.6346214,46080,0.0
1783028063.6303031,47104,0.0021505376789718866
1783028326.8078575,48128,0.0021008404437452555
1783028589.8335855,49152,0.002061855746433139
1783028849.5922763,50176,0.0020408162381500006
1783029098.8551524,51200,0.0020283975172787905
1783029359.0486777,52224,0.0020000000949949026
1783029615.04116,53248,0.0019801980815827847
1783029875.0575407,54272,0.001956947147846222
1783030133.3192754,55296,0.0019267823081463575
1783030393.2988303,56320,0.0019047618843615055
1783030647.9770365,57344,0.0018903592135757208
1783030904.8821912,58368,0.0018621974159032106
1783031155.096172,59392,0.003710575168952346
1783031411.9999735,60416,0.0036496350076049566
1783031664.7484362,61440,0.0036231884732842445
1783031916.953803,62464,0.0036036036908626556
1783032181.6661117,63488,0.0035335689317435026
1783032441.2240052,64512,0.0034904014319181442
1783032720.708229,65536,0.0034129691775888205
1783032981.719623,66560,0.0033783784601837397
1783033230.6371713,67584,0.0033613445702940226
1783033489.5213184,68608,0.003322259057313204
1783033744.790934,69632,0.0033057851251214743
1783034005.0923274,70656,0.004918032791465521
1783034255.9315174,71680,0.004893964156508446
1783034517.5074797,72704,0.006462035700678825
1783034777.9783854,73728,0.006369426846504211
1783035039.1593392,74752,0.006299212574958801
1783035302.590658,75776,0.006211180239915848
1783035562.1720421,76800,0.0061349691823124886
1783035823.9247255,77824,0.0060606058686971664
1783036106.0141802,78848,0.005934718064963818
1783036377.070718,79872,0.005822416394948959
1783036647.1915672,80896,0.005730659235268831
1783036910.9906316,81920,0.005641749128699303
1783037179.5261922,82944,0.005563282407820225
1783037454.9703107,83968,0.005464480724185705
1783037718.1435316,84992,0.005376344081014395
1783037987.8879745,86016,0.005291005130857229
1783038266.0718946,87040,0.005201560445129871
1783038539.9183214,88064,0.0051085567101836205
1783038805.8095627,89088,0.005044136196374893
1783039074.6060982,90112,0.004968944005668163
1783039328.390525,91136,0.004932182375341654
1783039593.3265038,92160,0.004872107412666082
1783039857.2850652,93184,0.004813477862626314
1783040122.3175793,94208,0.004778972361236811
1783040377.4952095,95232,0.004739336669445038
1783040641.360541,96256,0.004683840554207563
1783040919.461798,97280,0.004618937615305185
1783041181.0610638,98304,0.004571428522467613
1783041439.453921,99328,0.004524887073785067
1783041712.3189323,100352,0.004469273611903191
1783041982.5286546,101376,0.0044052861630916595
1783042249.0314927,102400,0.004376367665827274
1783042511.604813,103424,0.004347825888544321
1783042766.75525,104448,0.004314994439482689
1783043038.1936834,105472,0.004273504484444857
1783043302.115262,106496,0.004232804290950298
1783043572.1363509,107520,0.004179728217422962
1783043847.6115134,108544,0.004123711492866278
1783044114.4311955,109568,0.004081632476300001
1783044392.200151,110592,0.004032257944345474
1783044665.1127632,111616,0.0039880359545350075
1783044933.479365,112640,0.003952569328248501
1783045193.4762862,113664,0.003917727619409561
1783045452.6768038,114688,0.0038910505827516317
1783045721.7404795,115712,0.003842459060251713
1783045984.1293018,116736,0.0038204393349587917
1783046245.9904692,117760,0.0037807184271514416
1783046519.3190691,118784,0.003727865871042013
1783046779.1757958,119808,0.0036900369450449944
1783047050.5075645,120832,0.0036563072353601456
1783047320.2174666,121856,0.0036264732480049133
1783047583.090873,122880,0.0035938904620707035
1783047841.499553,123904,0.003565062303096056
1783048107.073996,124928,0.003536693286150694
1783048363.1414478,125952,0.003514938522130251
1783048634.6985366,126976,0.003466204507276416
1783048894.5372007,128000,0.003433476435020566
1783049178.919991,129024,0.003386960132047534
1783049448.440125,130048,0.0033585221972316504
1783049715.250242,131072,0.0033333334140479565
1783049986.4383938,132096,0.0033085194882005453
1783050239.0231981,133120,0.0032976092770695686
1783050507.7426524,134144,0.003270645858719945
1783050769.6116734,135168,0.003241491038352251
1783051027.5700243,136192,0.003225806402042508
1783051290.5406308,137216,0.0032102728728204966
1783051550.833157,138240,0.0031847134232521057
1783051802.864714,139264,0.003177124774083495
1783052078.3102334,140288,0.003152088262140751
1783052342.4405775,141312,0.0031372548546642065
1783052604.4734752,142336,0.0031152646988630295
1783052861.2497165,143360,0.003878975985571742
1783053112.591361,144384,0.0038729666266590357
1783053374.0439284,145408,0.003840245772153139
1783053630.4808898,146432,0.0038255546241998672
1783053895.8512084,147456,0.003805174957960844
1783054155.575253,148480,0.0037878789007663727
1783054429.7492204,149504,0.0037565738894045353
