Wall time,Step,Value
1781783979.3606699,1024,-17.28839111328125
1781784313.6497846,2048,-43.675743103027344
1781784646.125564,3072,-52.297786712646484
1781784965.7675421,4096,-38.59212875366211
1781785288.8313503,5120,-26.098934173583984
1781785626.6215327,6144,-33.64802551269531
1781785961.2313647,7168,-39.43914031982422
1781786298.4454618,8192,-34.41803741455078
1781786624.8375444,9216,-33.11677551269531
1781786952.155668,10240,-32.14735412597656
1781787270.9733167,11264,-30.680152893066406
1781787580.6792018,12288,-21.46245574951172
1781787888.934536,13312,-13.225001335144043
1781788222.6366556,14336,-13.263031959533691
1781788543.766112,15360,-8.44552230834961
1781788855.0596392,16384,1.895616888999939
1781789174.3200326,17408,6.921421051025391
1781789493.541933,18432,2.29443621635437
1781789829.6866643,19456,-11.12904167175293
1781790151.0286703,20480,-10.821598052978516
1781790486.1159391,21504,-15.315092086791992
1781790800.5169883,22528,-11.518684387207031
1781791138.5239043,23552,-23.167402267456055
1781791466.3890138,24576,-25.475332260131836
1781791787.6760132,25600,-24.7170467376709
1781792102.5240898,26624,-14.10825252532959
1781792434.5089586,27648,-13.139238357543945
1781792750.0492132,28672,-8.677990913391113
1781793070.6649818,29696,-9.284746170043945
1781793400.415076,30720,-10.168375015258789
1781793718.4012852,31744,-1.3464584350585938
1781794040.4478014,32768,-2.1924760341644287
1781794366.8621404,33792,-6.0150299072265625
1781794685.388484,34816,0.19049416482448578
1781795007.5804403,35840,-0.6343056559562683
1781795323.3942423,36864,1.6746915578842163
1781795650.2880323,37888,1.4523813724517822
1781795970.7246828,38912,-4.526095867156982
1781796279.5800242,39936,-8.976728439331055
1781796596.5351436,40960,-9.522677421569824
1781796909.2669988,41984,-6.613917350769043
1781797228.7234838,43008,-6.8398847579956055
1781797551.9405797,44032,-13.350920677185059
1781797866.6633732,45056,-13.495206832885742
1781798197.58709,46080,-19.971372604370117
1781798524.402926,47104,-14.90451431274414
1781798838.5217853,48128,-11.147933959960938
1781799164.148671,49152,-11.167662620544434
1781799480.811166,50176,-11.901165008544922
1781799796.826447,51200,-13.882447242736816
1781800106.318439,52224,-6.742973804473877
1781800418.998288,53248,-9.947628021240234
1781800740.2502658,54272,-11.261334419250488
1781801063.6741862,55296,-5.663147926330566
1781801374.9872558,56320,-6.534646034240723
1781801689.1495347,57344,-11.804546356201172
1781802015.093826,58368,-11.540544509887695
1781802320.5045662,59392,-2.122509479522705
1781802628.1109962,60416,0.6226356029510498
1781802954.5139327,61440,-0.6511399149894714
1781803255.9413161,62464,8.072074890136719
1781803569.3615227,63488,4.245933532714844
1781803884.9880936,64512,10.874683380126953
1781804195.518262,65536,7.015499591827393
